,brand,processor,screen_size,ROM,RAM,display_size,num_rear_camera,num_front_camera,battery_capacity,ratings,sales_price
334,3,1,1,0.1111111111111111,2,6.2,1,1,0.22499999999999998,4.3,7990
335,3,4,2,0.0,1,6.0,1,1,0.025000000000000022,4.149999999999999,15999
336,3,1,2,0.037037037037037035,2,6.0,1,1,0.20000000000000007,4.3,13800
337,3,1,1,0.1111111111111111,3,6.4,2,1,0.375,4.3,11490
338,3,2,0,0.5555555555555556,8,6.6,3,1,0.625,4.2,21999
339,3,4,0,0.1111111111111111,3,6.5,3,1,0.625,4.2,9499
340,3,1,0,0.5555555555555556,8,6.7,4,1,1.0,4.3,25999
341,3,1,1,0.5555555555555556,6,6.4,3,1,0.875,4.3,14499
342,3,1,1,0.5555555555555556,6,6.4,3,1,0.875,4.3,14499
343,3,1,1,0.5555555555555556,6,6.4,3,1,0.875,4.3,14499
344,3,4,0,0.25925925925925924,4,6.5,3,1,0.625,4.149999999999999,9999
345,3,1,1,0.25925925925925924,6,6.4,3,1,0.875,4.3,15999
346,3,1,1,0.25925925925925924,6,6.4,3,1,0.875,4.3,15999
347,3,2,1,0.5555555555555556,6,6.4,4,1,0.875,4.4,16980
348,3,4,0,0.5555555555555556,8,6.7,4,1,0.625,4.3,34999
349,3,4,0,0.5555555555555556,8,6.5,4,1,0.5,4.4,28999
350,3,4,0,0.5555555555555556,8,6.7,2,1,0.30000000000000004,4.4,28490
351,3,1,0,0.5555555555555556,8,6.7,4,1,1.0,4.3,25999
352,3,1,0,0.5555555555555556,8,6.7,3,1,0.575,4.4,54499
353,3,4,0,0.5555555555555556,8,6.6,3,1,0.625,4.3,24499
354,3,1,0,0.5555555555555556,6,6.5,4,1,0.375,4.3,20999
355,3,1,1,0.25925925925925924,4,6.4,1,1,0.875,4.3,14090
356,3,4,0,0.1111111111111111,3,6.5,3,1,0.375,4.3,11599
357,3,1,0,0.5555555555555556,8,6.7,3,1,0.5,4.3,39999
358,3,4,2,0.1111111111111111,3,6.0,2,1,0.375,4.2,8999
359,3,1,0,0.5555555555555556,8,6.7,4,1,1.0,4.3,25999
360,3,1,0,0.5555555555555556,8,6.5,3,1,0.5,4.149999999999999,49999
361,3,4,0,0.5555555555555556,8,6.7,4,1,0.5,4.4,27499
362,3,4,0,0.1111111111111111,3,6.5,3,1,0.375,4.3,11599
363,3,1,1,1.0,8,6.2,3,1,0.375,4.3,54499
364,3,1,0,0.5555555555555556,6,6.5,4,1,0.375,4.3,20999
365,3,4,0,0.1111111111111111,3,6.5,3,1,0.375,4.3,11599
366,3,4,0,0.25925925925925924,4,6.5,3,1,0.375,4.3,13695
367,3,1,1,0.5555555555555556,8,6.1,2,1,0.22499999999999998,4.550000000000001,39999
368,3,4,0,0.25925925925925924,4,6.5,3,1,0.375,4.3,13695
369,4,2,0,0.1111111111111111,3,6.5,1,1,0.625,4.3,8394
370,4,4,0,0.5555555555555556,6,6.7,3,1,0.5050000000000001,4.3,24398
371,4,4,1,0.1111111111111111,3,6.2,2,1,0.625,4.2,8299
372,4,4,1,0.25925925925925924,4,6.1,3,1,0.38250000000000006,4.3,12990
373,4,2,0,0.5555555555555556,4,6.5,2,1,0.625,4.2,10990
374,4,4,0,0.5555555555555556,8,6.5,3,1,0.4375,4.2,23999
375,4,4,0,0.5555555555555556,8,6.5,3,1,0.4375,4.2,23999
376,4,4,1,0.5555555555555556,6,6.3,2,1,0.375,4.4,15485
377,4,4,0,0.5555555555555556,6,6.7,3,1,0.5050000000000001,4.3,24780
378,4,4,0,0.5555555555555556,6,6.7,4,1,0.5800000000000001,4.3,23949
379,4,4,1,0.25925925925925924,6,6.3,2,1,0.375,4.5,12749
380,4,4,0,0.25925925925925924,4,6.7,4,1,0.6300000000000001,4.4,16487
381,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.5,12459
382,4,4,1,0.25925925925925924,6,6.0,2,1,0.375,4.5,13500
383,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.5,11799
384,4,4,1,0.25925925925925924,4,6.3,2,1,0.375,4.4,12999
385,4,4,1,0.5555555555555556,6,6.4,3,1,0.375,4.5,20920
386,4,4,0,0.5555555555555556,8,6.5,3,1,0.4375,4.2,23999
387,4,4,0,0.5555555555555556,6,6.5,3,1,0.4375,4.2,21999
388,4,4,0,0.5555555555555556,6,6.5,3,1,0.4375,4.2,21999
389,4,4,1,0.25925925925925924,6,6.3,2,1,0.375,4.4,14999
390,4,4,1,0.25925925925925924,6,6.4,3,1,0.375,4.5,20899
391,4,4,1,0.25925925925925924,4,6.1,3,1,0.38250000000000006,4.3,12990
392,4,2,0,0.25925925925925924,4,6.5,2,1,0.625,4.2,9840
